"filename", "language", "Shell Script", "Go", "XML", "JavaScript", "JSON", "HTML", "comment", "blank", "total"
"c:\Users\Pan9Hu\go\src\github.com\Pan9Hu\melo-cmdb\agent\.idea\agent.iml", "XML", 0, 0, 9, 0, 0, 0, 0, 0, 9
"c:\Users\Pan9Hu\go\src\github.com\Pan9Hu\melo-cmdb\agent\.idea\modules.xml", "XML", 0, 0, 8, 0, 0, 0, 0, 0, 8
"c:\Users\Pan9Hu\go\src\github.com\Pan9Hu\melo-cmdb\agent\.idea\vcs.xml", "XML", 0, 0, 6, 0, 0, 0, 0, 0, 6
"c:\Users\Pan9Hu\go\src\github.com\Pan9Hu\melo-cmdb\agent\build.sh", "Shell Script", 9, 0, 0, 0, 0, 0, 1, 5, 15
"c:\Users\Pan9Hu\go\src\github.com\Pan9Hu\melo-cmdb\agent\mcore\.idea\mcore.iml", "XML", 0, 0, 9, 0, 0, 0, 0, 0, 9
"c:\Users\Pan9Hu\go\src\github.com\Pan9Hu\melo-cmdb\agent\mcore\.idea\modules.xml", "XML", 0, 0, 8, 0, 0, 0, 0, 0, 8
"c:\Users\Pan9Hu\go\src\github.com\Pan9Hu\melo-cmdb\agent\mcore\.idea\vcs.xml", "XML", 0, 0, 6, 0, 0, 0, 0, 0, 6
"c:\Users\Pan9Hu\go\src\github.com\Pan9Hu\melo-cmdb\agent\mcore\go.mod", "XML", 0, 0, 2, 0, 0, 0, 0, 2, 4
"c:\Users\Pan9Hu\go\src\github.com\Pan9Hu\melo-cmdb\agent\mcore\magent.go", "Go", 0, 7, 0, 0, 0, 0, 0, 3, 10
"c:\Users\Pan9Hu\go\src\github.com\Pan9Hu\melo-cmdb\web\index.html", "HTML", 0, 0, 0, 0, 0, -65, 0, -1, -66
"c:\Users\Pan9Hu\go\src\github.com\Pan9Hu\melo-cmdb\web\package-lock.json", "JSON", 0, 0, 0, 0, -1878, 0, 0, -1, -1879
"c:\Users\Pan9Hu\go\src\github.com\Pan9Hu\melo-cmdb\web\package.json", "JSON", 0, 0, 0, 0, -24, 0, 0, -1, -25
"c:\Users\Pan9Hu\go\src\github.com\Pan9Hu\melo-cmdb\web\src\assets\image\melo.svg", "XML", 0, 0, -1, 0, 0, 0, 0, 0, -1
"c:\Users\Pan9Hu\go\src\github.com\Pan9Hu\melo-cmdb\web\src\assets\image\undraw_ideas_re_7twj.svg", "XML", 0, 0, -1, 0, 0, 0, 0, 0, -1
"c:\Users\Pan9Hu\go\src\github.com\Pan9Hu\melo-cmdb\web\src\assets\image\undraw_proud_coder_re_exuy.svg", "XML", 0, 0, -1, 0, 0, 0, 0, 0, -1
"c:\Users\Pan9Hu\go\src\github.com\Pan9Hu\melo-cmdb\web\src\main.js", "JavaScript", 0, 0, 0, -28, 0, 0, -4, -8, -40
"c:\Users\Pan9Hu\go\src\github.com\Pan9Hu\melo-cmdb\web\src\router\index.js", "JavaScript", 0, 0, 0, -100, 0, 0, 0, -3, -103
"c:\Users\Pan9Hu\go\src\github.com\Pan9Hu\melo-cmdb\web\vite.config.js", "JavaScript", 0, 0, 0, -23, 0, 0, 0, -5, -28
"Total", "-", 9, 7, 45, -151, -1902, -65, -3, -9, -2069
