"filename", "language", "JavaScript", "XML", "JSON", "HTML", "comment", "blank", "total"
"c:\Users\Pan9Hu\go\src\github.com\Pan9Hu\melo-cmdb\web\index.html", "HTML", 0, 0, 0, 65, 0, 1, 66
"c:\Users\Pan9Hu\go\src\github.com\Pan9Hu\melo-cmdb\web\package-lock.json", "JSON", 0, 0, 1878, 0, 0, 1, 1879
"c:\Users\Pan9Hu\go\src\github.com\Pan9Hu\melo-cmdb\web\package.json", "JSON", 0, 0, 24, 0, 0, 1, 25
"c:\Users\Pan9Hu\go\src\github.com\Pan9Hu\melo-cmdb\web\src\assets\image\melo.svg", "XML", 0, 1, 0, 0, 0, 0, 1
"c:\Users\Pan9Hu\go\src\github.com\Pan9Hu\melo-cmdb\web\src\assets\image\undraw_ideas_re_7twj.svg", "XML", 0, 1, 0, 0, 0, 0, 1
"c:\Users\Pan9Hu\go\src\github.com\Pan9Hu\melo-cmdb\web\src\assets\image\undraw_proud_coder_re_exuy.svg", "XML", 0, 1, 0, 0, 0, 0, 1
"c:\Users\Pan9Hu\go\src\github.com\Pan9Hu\melo-cmdb\web\src\main.js", "JavaScript", 28, 0, 0, 0, 4, 8, 40
"c:\Users\Pan9Hu\go\src\github.com\Pan9Hu\melo-cmdb\web\src\router\index.js", "JavaScript", 100, 0, 0, 0, 0, 3, 103
"c:\Users\Pan9Hu\go\src\github.com\Pan9Hu\melo-cmdb\web\vite.config.js", "JavaScript", 23, 0, 0, 0, 0, 5, 28
"Total", "-", 151, 3, 1902, 65, 4, 19, 2144
